geoid,geoid20,year,denom_total_pop,severe_collision_count,pedestrian_collision_count,bicycle_collision_count,pedestrian_collision_rate,bicycle_collision_rate,severe_collision_rate
1400000US06037111402,6037111402,2022,6146,3,1,0,16.270744,0,48.812237
1400000US06037113101,6037113101,2022,3525,3,0,0,0,0,85.106384
1400000US06037113102,6037113102,2022,2784,1,0,0,0,0,35.91954
1400000US06037113211,6037113211,2022,4248,5,0,0,0,0,117.70245
1400000US06037113212,6037113212,2022,2888,5,2,0,69.252075,0,173.13019
1400000US06037113213,6037113213,2022,5087,3,0,1,0,19.657951,58.973854
1400000US06037113231,6037113231,2022,2161,4,0,0,0,0,185.09949
1400000US06037113232,6037113232,2022,4596,5,0,1,0,21.758051,108.79025
1400000US06037113234,6037113234,2022,5653,9,3,0,53.069168,0,159.2075
1400000US06037113235,6037113235,2022,1727,1,0,0,0,0,57.903881
1400000US06037113237,6037113237,2022,4725,8,1,0,21.164021,0,169.31216
1400000US06037113238,6037113238,2022,4547,3,0,0,0,0,65.97757
1400000US06037113239,6037113239,2022,2343,3,0,0,0,0,128.04097
1400000US06037113301,6037113301,2022,4830,9,0,1,0,20.703934,186.3354
1400000US06037113303,6037113303,2022,3774,12,1,2,26.497086,52.994171,317.96503
1400000US06037113322,6037113322,2022,4584,7,2,0,43.630016,0,152.70506
1400000US06037113323,6037113323,2022,3619,3,0,0,0,0,82.895828
1400000US06037113324,6037113324,2022,2771,3,0,0,0,0,108.26417
1400000US06037113423,6037113423,2022,3077,4,1,0,32.499187,0,129.99675
1400000US06037113424,6037113424,2022,3346,10,1,1,29.886431,29.886431,298.86432
1400000US06037113426,6037113426,2022,2322,12,2,0,86.132645,0,516.79584
1400000US06037113427,6037113427,2022,2360,3,0,0,0,0,127.11864
1400000US06037113428,6037113428,2022,4222,1,0,0,0,0,23.685457
1400000US06037115101,6037115101,2022,4678,19,2,1,42.753315,21.376657,406.15646
1400000US06037115103,6037115103,2022,2725,4,1,0,36.697247,0,146.78899
1400000US06037115104,6037115104,2022,4327,3,1,0,23.110701,0,69.3321
1400000US06037115202,6037115202,2022,6010,15,5,0,83.194679,0,249.58403
1400000US06037115203,6037115203,2022,2236,9,0,1,0,44.722717,402.50449
1400000US06037115301,6037115301,2022,4511,4,0,0,0,0,88.672134
1400000US06037115302,6037115302,2022,3912,3,0,0,0,0,76.687119
1400000US06037115401,6037115401,2022,5847,6,0,0,0,0,102.61673
1400000US06037115403,6037115403,2022,3477,9,0,2,0,57.520851,258.84384
1400000US06037115404,6037115404,2022,2830,2,1,0,35.33569,0,70.671379
1400000US06037117101,6037117101,2022,5252,6,0,1,0,19.040365,114.2422
1400000US06037117102,6037117102,2022,2504,5,1,0,39.936104,0,199.68051
1400000US06037117201,6037117201,2022,4250,4,2,1,47.058823,23.529411,94.117645
1400000US06037117202,6037117202,2022,2853,3,0,0,0,0,105.15247
1400000US06037117301,6037117301,2022,3632,5,0,0,0,0,137.66519
1400000US06037117302,6037117302,2022,4957,5,0,0,0,0,100.86746
1400000US06037117303,6037117303,2022,4428,12,1,0,22.583559,0,271.00272
1400000US06037117404,6037117404,2022,5548,12,2,1,36.049026,18.024513,216.29416
1400000US06037117405,6037117405,2022,3176,2,0,0,0,0,62.972294
1400000US06037117407,6037117407,2022,3566,3,1,0,28.042625,0,84.127876
1400000US06037117408,6037117408,2022,2404,4,0,0,0,0,166.38936
1400000US06037117520,6037117520,2022,4571,6,3,0,65.631149,0,131.2623
1400000US06037117530,6037117530,2022,5963,4,0,0,0,0,67.08033
1400000US06037119001,6037119001,2022,4462,3,0,0,0,0,67.234421
1400000US06037119003,6037119003,2022,3895,4,0,0,0,0,102.69576
1400000US06037119004,6037119004,2022,2768,6,0,0,0,0,216.763
1400000US06037119201,6037119201,2022,4412,7,2,0,45.330917,0,158.6582
1400000US06037119202,6037119202,2022,4766,2,0,0,0,0,41.963909
1400000US06037119310,6037119310,2022,3931,3,1,0,25.43882,0,76.31646
1400000US06037119320,6037119320,2022,4475,2,0,0,0,0,44.692738
1400000US06037119340,6037119340,2022,3905,3,0,0,0,0,76.824585
1400000US06037119341,6037119341,2022,2750,2,0,0,0,0,72.727272
1400000US06037119342,6037119342,2022,2850,3,1,1,35.087719,35.087719,105.26316
1400000US06037119400,6037119400,2022,5061,8,0,0,0,0,158.07153
1400000US06037119700,6037119700,2022,4269,1,0,0,0,0,23.42469
1400000US06037119801,6037119801,2022,2556,2,0,0,0,0,78.247261
1400000US06037119802,6037119802,2022,3238,1,0,0,0,0,30.883261
1400000US06037119900,6037119900,2022,4521,2,1,0,22.118999,0,44.237999
1400000US06037120020,6037120020,2022,4359,2,0,0,0,0,45.882084
1400000US06037120030,6037120030,2022,2614,2,0,0,0,0,76.511093
1400000US06037120104,6037120104,2022,2375,3,1,1,42.105263,42.105263,126.31579
1400000US06037120105,6037120105,2022,2691,10,2,2,74.321815,74.321815,371.60907
1400000US06037120106,6037120106,2022,4443,6,0,0,0,0,135.04388
1400000US06037120107,6037120107,2022,4044,1,1,0,24.727993,0,24.727993
1400000US06037120300,6037120300,2022,5299,19,1,1,18.871485,18.871485,358.55823
1400000US06037120400,6037120400,2022,6170,9,0,0,0,0,145.8671
1400000US06037121010,6037121010,2022,5277,5,2,0,37.900322,0,94.750809
1400000US06037121020,6037121020,2022,3661,3,0,0,0,0,81.944824
1400000US06037121101,6037121101,2022,3191,6,1,1,31.338139,31.338139,188.02882
1400000US06037121102,6037121102,2022,2271,8,1,0,44.033466,0,352.26773
1400000US06037121210,6037121210,2022,2922,12,2,2,68.446266,68.446266,410.67761
1400000US06037121221,6037121221,2022,2237,1,0,0,0,0,44.702728
